Set ID,Section,Condition,Times Sold,Total Qty,Total Lots,Min Price (EUR),Avg Price (EUR),Qty Avg Price (EUR),Max Price (EUR),ScrapeTimestampUTC
8265-1,Current Items for Sale,New,,19,15.0,159.0,228.68,236.83,299.0,2025-10-11T15:34:42.289286
8265-1,Current Items for Sale,Used,,40,40.0,60.0,99.85,99.85,249.0,2025-10-11T15:34:42.289286
10193-1,Last 6 Months Sales,New,17.0,19,,109.0,228.46,234.73,352.64,2025-10-11T15:36:05.306852
10193-1,Last 6 Months Sales,Used,11.0,11,,137.08,216.93,216.93,299.95,2025-10-11T15:36:05.306852
10193-1,Current Items for Sale,New,,77,55.0,241.18,404.79,635.29,2723.02,2025-10-11T15:36:05.306852
10193-1,Current Items for Sale,Used,,37,36.0,77.79,268.61,265.79,499.0,2025-10-11T15:36:05.306852
10194-1,Last 6 Months Sales,New,11.0,12,,316.76,502.71,492.48,699.99,2025-10-11T15:38:26.575112
10194-1,Last 6 Months Sales,Used,10.0,10,,294.93,355.8,355.8,459.95,2025-10-11T15:38:26.575112
10194-1,Current Items for Sale,New,,54,48.0,369.0,757.12,735.84,5791.82,2025-10-11T15:38:26.575112
10194-1,Current Items for Sale,Used,,29,25.0,199.2,435.06,432.97,691.44,2025-10-11T15:38:26.575112
10195-1,Last 6 Months Sales,New,16.0,17,,633.8,1345.19,1303.35,2566.95,2025-10-11T15:40:19.357544
10195-1,Last 6 Months Sales,Used,36.0,36,,206.08,671.94,671.94,1200.0,2025-10-11T15:40:19.357544
10195-1,Current Items for Sale,New,,26,25.0,1296.68,2183.94,2184.65,3399.42,2025-10-11T15:40:19.357544
10195-1,Current Items for Sale,Used,,31,28.0,605.12,943.49,959.97,1345.0,2025-10-11T15:40:19.357544
